"","1","2"
"nombre_departamento","facultad_pertenciente","descripcion"
"Diseño","Facultad de Humanidades y Tecnologías de la Comunicación Social",""
"Cartografía","Facultad de Humanidades y Tecnologías de la Comunicación Social",""
"Trabajo Social","Facultad de Humanidades y Tecnologías de la Comunicación Social",""
"Humanidades","Facultad de Humanidades y Tecnologías de la Comunicación Social",""
"Prevención de Riesgos y Medioambiente","Facultad de Ciencias de la Construcción y Ordenamiento Territorial",""
"Ciencias de la Construcción","Facultad de Ciencias de la Construcción y Ordenamiento Territorial",""
"Planificación y Ordenamiento Territorial","Facultad de Ciencias de la Construcción y Ordenamiento Territorial",""
"Química","Facultad de Ciencias Naturales, Matemática y del Medio Ambiente",""
"Matemática","Facultad de Ciencias Naturales, Matemática y del Medio Ambiente",""
"Física","Facultad de Ciencias Naturales, Matemática y del Medio Ambiente",""
"Biotecnología","Facultad de Ciencias Naturales, Matemática y del Medio Ambiente",""
"Gestión Organizacional","Facultad de Administración y Economía",""
"Economía, Recursos Naturales y Comercio Internacional","Facultad de Administración y Economía",""
"Contabilidad y Gestión Financiera","Facultad de Administración y Economía",""
"Gestión de la Información","Facultad de Administración y Economía",""
